index,paid,date,duration,name,author,field,base_tags,p_tags,link,txt
1,TRUE,05.06.2015,2,Основы статистики,Анатолий Карпов,stats,"stats, basic",,https://stepic.org/course/Основы-статистики-76,Курс знакомит слушателей с основными понятиями и методами математической статистики. В течение трех недель мы рассмотрим наиболее ...
2,FALSE,17.06.2015,1,Молекулярная биология и генетика,Павел Добрынин,bio,"genetics, molecular, advanced",,https://stepic.org/course/Молекулярная-биология-и-генетика-70,"Курс рассказывает об основных понятиях молекулярной биологии и генетики, начиная от организации клетки и заканчивая микро- и макро..."
3,TRUE,23.06.2015,4,Программирование на Python,Павел Федотов,cs,"python, basic",son,https://stepic.org/course/Программирование-на-Python-67,"Курс посвящен базовым понятиям и элементам языка программирования Python (операторы, числовые и строковые переменные, списки, усло..."
4,FALSE,1.02.2015,1,Базовый курс подготовки к ОГЭ по математике,Анна Зубаха (Крохалева),math,"hightSchool, exams",son,https://stepic.org/course/Базовый-курс-подготовки-к-ОГЭ-по-математике-85,Цель данного курса – устранить основные пробелы в знаниях учеников 7-9 классов и подготовить их к сдаче основного государственного...
5,TRUE,3.04.2015,2,Linear Algebra: Problems and Methods,Nikolay Gusev,math,"basic, algebra",,https://stepic.org/course/Linear-Algebra-Problems-and-Methods-79,The goal of the course is explain the fundamental ideas of linear algebra and how to use them to find easy solutions of hard probl...
6,FALSE,27.04.2015,2,Управление интеллектуальной собственностью: основы для инженеров,Андрей Рожнов,law,"copirights, <3",,https://stepic.org/course/Управление-интеллектуальной-собственностью-основы-для-инженеров-88,"В курсе рассматриваются вопросы защиты и управления различными объектами интеллектуальной собственности: изобретениями, дизайном, ..."
7,TRUE,5.05.2015,3,Инвестиционный банкинг изнутри,Буев Максим Вячеславович,financing,"banking, investing",<3,https://stepic.org/course/Инвестиционный-банкинг-изнутри-82,"Курс о различных типах карьеры в инвестиционных банках, хеджевых фондах, инвестиционных фирмах – о том, что и как делают в банковс..."
8,FALSE,25.06.2015,4,Анализ данных в R,Анатолий Карпов,cs,"basic, R",,https://stepic.org/course/Анализ-данных-в-R-129,"В рамках трёхнедельного курса рассматриваются все основные этапы статистического анализа R, считывание данных, предобработка данны..."
9,TRUE,1.09.2015,5,Биотехнологии: генная инженерия,Александр Ткаченко,bio,"genetics, basic",,https://stepic.org/course/Биотехнологии-генная-инженерия-94,"Первая часть курса по биотехнологиям. Курс рассчитан на широкую аудиторию и освещает базовые понятия генной инженерии, такие как р..."
10,FALSE,14.09.2014,4,Введение в архитектуру ЭВМ. Элементы операционных систем.,Кирилл Кринкин,cs,"basic, hardware",,https://stepic.org/course/Введение-в-архитектуру-ЭВМ-Элементы-операционных-систем-65,"Данный обзорный курс позволяет понять основы функционирования компьютерной техники. В рамках изучения курса слушатель поймет, как ..."
11,TRUE,14.09.2014,3,Программирование на языке C++,Александр Смаль,cs,"C++, advanced",,https://stepic.org/course/Программирование-на-языке-C++-7,Данный базовый курс повествует об основных средствах языка C++. Особое внимание уделяется обсуждению базовых принципов работы прог...
12,FALSE,14.09.2014,2,Алгоритмы и структуры данных,Александр Куликов,cs,alorythms,<3,https://stepic.org/course/Алгоритмы-и-структуры-данных-63,"Курс знакомит слушателей с базовыми алгоритмами (метод «разделяй и властвуй», поиск в массиве, сортировка массива, алгоритмы на гр..."
13,TRUE,10.11.2014,1,Введение в Linux,Алексей Гуревич,cs,"os, linux, basic",,https://stepic.org/course/Введение-в-Linux-73,Курс знакомит слушателей с операционной системой Linux и основами её использования. В рамках курса мы покажем как установить Linux...
14,FALSE,2.02.2015,,Археология фольклора: мифологические мотивы на карте мира,Березкин Юрий Евгеньевич,culture,archeology,<3,https://stepic.org/course/Археология-фольклора-мифологические-мотивы-на-карте-мира-51,Исследование мирового фольклора позволяет увидеть распространение отдельных фольклорных мотивов в разных традициях и сделать вывод...
15,TRUE,9.05.2015,,Компьютерная графика: основы,Денис Королев,cs,"graphics, viz",,https://stepic.org/course/Компьютерная-графика-основы-84,Обзорный курс для студентов младших курсов инженерного направления обучения. Начинается с физических основ и далее рассматривает ф...
16,,02.03.2015,,Ликбез по дискретной математике,Александр Омельченко,math,"basic, hightschool",,https://stepic.org/course/Ликбез-по-дискретной-математике-91,Это обзорный курс по дискретной математике. Студенту начальных курсов он может быть полезен для повторения материала перед экзамен...
17,,30.03.2015,,Введение в математический анализ,Александр Храбров,math,"basic, math, analysis",,https://stepic.org/course/Введение-в-математический-анализ-95,"Курс знакомит слушателей с базовыми понятиями математического анализа:
последовательностями, пределами, непрерывностью, производн..."
18,,7.03.2015,,Дискретные структуры,Александр Дайняк,math,"basic, discrete",<3,https://stepic.org/course/Дискретные-структуры-83,"Это базовый курс дискретной математики и комбинаторики. Он для всех, кто хочет развить математическую интуицию, помогающую в работ..."
